SdDfbUSFrongopmcwggQ;mphaseSATm
HzQgexhTDgljUnQHWkzR;clasp1
qYBktWVKKiJQkvdkNcsC;picosat
pHdRhWrZDakRsOvvpvcO;picosat
UgvXYsGKylUlzHozrVtD;eagleup
slVTFEEwJOKdWTiCaLLO;precosat
YadfiGeLQvaksvkgcKpi;eagleup
aPqWQJRqqqBbBdZHRrSS;sattime
CgfbFRwSnrqgglcIPxiD;marchrw
zJZFccLSGdRMZROXTWkH;glucose2
gPtYZjHbHbSRLjrHfXWT;picosat
VbQdsjOVvoHJOQvQlHYi;glueminisat
iDFxhaTBWCBBoQkRLJqc;glueminisat
MswBCSPGODbckPriZvGl;cryptominisat2011
LHbqsxsBGzOsEAVmcqlR;sparrow
mRqqPGFemIyCIjjYMKHe;eagleup
rddGxPfUMGQNUHEapgMg;tnm
dpAQuXCXzEkmjJFSWAwz;sparrow
NpeqqZIbtPTTuAnNPvBP;glucose2
kRdDvetybQOtTcXVIyiv;sol
CdvGyswVskXJYMMyXFYI;glueminisat
yrdWytVHsIHkvbbdWuNy;glueminisat
MHdKKLzYWGYGAjzKlzJF;gnoveltyp2
InSJYKzXTeNExjZNAIYw;picosat
NgNMAqKooqdFHLSgVwWz;tnm
KKwpPoVLnABpfMHAtKPl;minisatpsm
tVYtjzwlmcuIcgMHGszS;ebminisat
BwNtuqmZquxSgjKrahGw;precosat
KcUnLgHqwSWopPeppXTT;picosat
OIKpsrQCgpACBfvlRkXg;marchrw
LykqWjRThMaaRFEgHvpC;sol
ejmlBlMzakfDxXeeFjVZ;lingeling
TLsuosXjjmeDVGtAtlgE;mphaseSAT64
QqYIAjGdnJCZDrZqYoqx;tnm
JCRYbfLxhOzeFioOaMqO;marchrw
cbXjZgqVFVgfKOuwEjMS;marchrw
JnmKRTaMrOeycATKrzVW;spear-hw
ZiVeUIfKRuXvEsXDdumS;glueminisat
YYNIKkwtURusCTszgHNz;lingeling
rquMUlqKtHguyMEQOZzi;clasp1
QicAxfvDMDQYLlMvxmlN;qutersat
YuQWuFSrxEGNQCuHKmwR;glucose2
ZFDHdYnnERfCMshWBCIa;glucose2
hiqbBrBZgSWqnQuoZSlz;qutersat
rEkweWHUFVcLPCWXuUMo;picosat
yUlbaPXAgXSZwxRcACZt;lingeling
BwcROUtyCzxNnrnUmZFw;tnm
CEqHgpMWISWxWyDHebSH;glueminisat
gzenovHyOoQAVkCLYUbq;clasp1
pZeFyFxeIKoNCzCVyeSG;picosat
WTpNaAMUuNOTQTgMSZBv;tnm
uvCDSUbeQXFsDlnNZnUl;marchrw
dkmhAGzXOMjGpwFUFmGM;sol
buAhMkASLWgiAanQEfRA;glueminisat
cMJHeucfBRfnZeCwUJQC;marchrw
QIFrsyylHDvYHlRLijmj;marchrw
AhIJaujEvyhzwwPGiiTg;glucose2
GsZwAakkADSYidOGXMiX;minisatpsm
bDeWnUFqQgmlnpmQzIoF;clasp1
zZHoBWLoBNcBbjBUvgbl;mphaseSAT
agNABCiLKtgcwhekKjRP;glucose2
aefhxntrgTHRRFzYUxov;clasp2
hgDLVHHLFMHxixmhAbft;eagleup
MssEYPnpnHjsBGsAKwcW;marchrw
dlSmUMlmXsBYEZnHSYPF;mphaseSATm
zHuXXrlzWdirhhzlKJes;tnm
jvFZXbWrHKovMIXIeCmw;sol
BhYLhYkRamEzpwfuWPCm;eagleup
NHPIItYKcVHvBxpfbkMk;marchrw
AHacXOZEvGCbkbhVBVTV;marchrw
rQGNShzhJFEDJYJpWBzP;tnm
KhUTvTdkgqXRpVdorRbK;sattime
MkRrCRxxiaKeXYblsbOO;mphaseSAT
imhpranddHxqNilsjxAT;picosat
lRkzaATlLmfxGsLyuyUY;ebminisat
QQCjbEVAfZgzxeibaiEZ;eagleup
RYAgeaGhbXaXVyroRkvg;precosat
pgfYMFzATEUJkGOOzHfY;satime11
KgbCFbKmAuqgaLMslVKp;glucose2
pVdRzErnuWLbfQMCdrFB;eagleup
USXZVIyfzhhbGwqXXWWS;restartsat
wQGpzGtlAbjBozlUzuXt;tnm
iLgnwDDDySCxWbXcHfEO;sol
ZiIPOECZfsEkGJCcNQFh;lingeling
htKMhaEiSdrFBiBABmOY;lrglshr
nYkYTaJQidkZUDMOtIKc;glucose2
IHDKDiempQscJbftXQXu;marchrw
TrXVmPzgPjrcGuqnBRzK;eagleup
WiIaLPQPIxputwsFvmtR;sparrow
RCcpodnyLVSlUzfzBCEg;clasp2
PADuLPqSoIlUrzHeWFMc;clasp2
TRBnNUtEwzdMpwXnzNma;glueminisat
CFgEiipIAoiYrRNaeOfc;picosat
onJZxRYeLVwzDhtsCAbf;eagleup
VHwdFeeMaGBeLhPCbvSU;sattime
qxuZcRMtKrqFPrrTLaXP;clasp2
OxgkOFKwuTGWAfZSCttE;eagleup
MrmXoPpIcUfYylyiTglo;marchrw
pLLlkqklfuenXatfqTXt;sattime
OPqxwNvuPbQitFJAYfoJ;mphaseSAT64
xsOjiWZrKAZFoNSyNUuX;clasp2
iZRZGxgAmsZRQTlJDvZK;marchrw
DEhsTMgmDCNjhgJrkbgF;glueminisat
qtmlTKiKCJLxUYuLLtQz;marchrw
mghJmMTfPABmFdJetabR;clasp1
yibWEYNANcnZMsAcAGSg;tnm
GVzXJHWVPxQpaRAVnwuz;sattime
lNIGICEPOONfyPeBbqTi;clasp1
MuVOuRGbnsdvZgTfMelq;marchrw
iyqykqeXmSsQVmLwtIfA;tnm
wjBBAnGRqmiVEVWPpkoj;sparrow
vcBQCjWWMSpBomeISWOa;sol
RQVpDuWTSvOaCJQXOkLC;cryptominisat2011
NnEeFDROfwnowavJGPLW;sol
qTdApyikWniPUmREOlkr;clasp2
gYdSPpXTngzxCgYmHxhN;restartsat
pXZcmoEWrAYNQLEkbwoS;marchrw
RFSUrRUhqVQVCDBGhjht;clasp1
LJfBMMyAwpKVqOvsDJUY;picosat
XSyjKDDsSzKdCcgRZHjh;glucose2
LWHgJUBuODzfbJNcFGjy;glueminisat
TagEVawxCAZwbmcllMQo;glueminisat
UHUSkyFVaJASXFtgVuEB;sparrow
KoOWAYriZFijrLuFpcAR;precosat
YajXOVqKfFiNWOEVGDnZ;qutersat
tdvNqHNSDvtyaohAlvLu;marchrw
zAbXjQKUUWhBcbFPHLSA;glueminisat
sHirHfMEJoxFattphQnP;glueminisat
GGAqNmgfwTeXofmDViSx;eagleup
YIWapJcMixwfstxmaQfK;glueminisat
VzZCKwhHOzkPADWcTUvJ;sattime
YxwqokSxkqRBIlGNMzhe;glucose2
EtfFvswHJdMYbArorbsH;ebminisat
QkgiWbnSDDkKyMpibUVA;clasp2
NQnCaczhXHEkYZggwqEK;glueminisat
sVFbPAkDpILqTWnBrmXq;tnm
dLzLVOhELZfvHqxedRdY;qutersat
ikpJbWNJPEwLSeqTSUwa;marchrw
rGdxdczLbRdSQnhbOppg;marchrw
zxqNxlFfpSeLKDLdIhvb;glucose2
DvwxluTlPLCFMiTXFQQa;marchrw
ChFqjACdQXmRkWRrsnhb;glucose2
RxYUmPgRnDDpyCzlTsmq;precosat
ezRDeMNlnyrguaGCqMxc;sol
QhcboUUdkaoFumRVdFUe;mxc09
RXBcCubntYRyojdPjTIT;marchrw
jthaBroWokHTvOOpBIPr;glucose2
yxjjhGOQqZOyhlFkYFRK;marchrw
ABohRiqrndCYcmMzxTCq;glucose2
WqJdkLfwKOpHomKmYBef;glucose2
KSFWkGhhJXWzzNGzLLuQ;sparrow
lztznIOZdtaowpJIDwsb;lingeling
NOKfNvyZHdzstKIowULz;eagleup
RUxrInMebbzQhgJnzWdb;sparrow
zLXvhdRJGVBHMaNLTdTD;restartsat
blcVgWyXuQZZwlsMdFiv;sattime
KlMmmRNKDZOFxOSdwFjl;minisatpsm
uPhpuGmstLJkjuOQWWFl;picosat
ysabpOjguDMHOzvEwvgK;ebminisat
QXfUTNdJrLaxDHfaSZQl;marchrw
qJctYjuSHmlZKszsOqRr;eagleup
URVjnfEdWchpTfzvnnti;glueminisat
wCTxMlrxWXMiGkSNYmkF;sol
OwNsOiWnxvtHxvgqJKVy;gnoveltyp2
HHcJixNraTJOrrplJQrV;marchrw
NfAnlpKBfLMbgrdRFifx;marchrw
dGNKXavMNblhiVCaDnSo;ebminisat
pcLYyyQsJOvrJUPDjNaK;sol
ehYxBlnaATHbIlfoBUUI;tnm
eThdonYvsFHgIVLucRjn;glucose2
FUXutdZBcyFwfCPVnYXE;gnoveltyp2
tJbeirgverjOQHCQbdOk;clasp1
JthquOhYfLQVkiuJZKMk;marchrw
przVMPimDMraDtXJBNBj;lingeling
btNfNaWZKxIWVaQGBOfh;glueminisat
eJHGQgBviTKSkUYrFojg;glueminisat
lihpxXkScQyZGMAOhyrx;glucose2
pNoYDGbQOhzbebIAWAhO;sattime
LMecDJDecWSnMVePBGcT;glucose2
rbNPYdcfgsYoWcZGsMah;picosat
vcuMZqaUeriENmHIKwaO;clasp2
cWMkfWcESUCiXpdBoFiB;marchrw
mxjPEknthtqUeagNxmyq;eagleup
ECiXORwRtnzzhlAQgbhR;glueminisat
VbQGQxJnDtwCjgoPdQgK;glucose2
mbEecEEbkpfgpPcWzVpG;glueminisat
YhTOCbIPoLwHxMmKleIH;glueminisat
rMCGebVBnimgmgnBhBQD;tnm
OSjnmkxanJaoTtcEIaIv;sparrow
VfqjPUXdtsMKXByVfMwu;glueminisat
DNlgdaqeumtMidcwZlUH;sparrow
zXsibMZSArshEjhgzZrV;picosat
wYIxGRbzQMWTMHWfXdcf;tnm
fcQTfuKDqezhpjoIeSmf;sparrow
yfZsgzccPDSWSlzoFied;marchrw
NbqCdunDhnZWRqxYrkZs;sattime
ndQAFYnixgbsmgSERvPK;ebminisat
lBbqnnCRBlhYiFtFbvAr;glucose2
dSCTPPYeqmooiMLQROpf;eagleup
vYcTkVzrGwDftCBReMrs;precosat
QyRncXsnmKMUnRdHcHfM;gnoveltyp2
zvTKUugpYghizedrEUyo;picosat
SunHnpIjjmMEImKXfSVc;sol
dKHvBaeXwHnkXWJgAARO;glueminisat
ejmRiagdHShJOxtnNcFz;marchrw
foagQqDXDpVGBrfIpoem;sol
vtoQssNjrbUvFPkZmBEM;glucose2
pGBuKDIesnMbtPGRQrtW;ebminisat
PNOOvLUlwfNKVGvPzlmW;glucose2
xFStDKeZChjjWNCJmXUw;marchrw
WyuLujXQCziOxrgkWNOY;qutersat
JaOwfMkWxjWzFbuPSpNY;clasp2
AzUhYQzViEjaZPIPahKD;eagleup
FoeZYXqXfzGHqOfcYjsJ;sol
wJsyjNAhtUZvTuXWhQpA;picosat
aFwDsvtGzcMJiHBRWWtA;clasp2
oHeCfgaqhFxMDnAglulx;sparrow
biIAyzzHTjDSrIwRkFFe;eagleup
QWrZAAkaJnnLfJTPbsbh;sattime
lRuBypXNoqboqQRQyYEl;marchrw
ODqCsPLqbYnUnecWoarl;eagleup
iFjGJgTUgYeyJDwimHtB;sparrow
LWpJrfgRSGTgJRQkEvAw;clasp1
mvQxbUDWAORcednBcgpv;glucose2
PCHXsCJPvADcMOhkjBRU;glucose2
WlTIyqDzIuxydfWgVmHx;satime11
uZXYjBGKrCjPjumGcnNx;tnm
LQYWaPwZkOiphhpCSxSj;spear-hw
SeFGzEUtWSvHBkgJfLCs;clasp2
VgYtsnCTVeyCcekDQPeK;sparrow
CWqjBVZdYoLLSoZFJKiq;marchrw
sqgcNVLCtuDWkDtKuVQe;sparrow
DwOAugJDVdpXidTPQrGd;eagleup
DmJAWsMQdjWWEDSJChCR;clasp1
WEMmwghTtGWqOJZIyySq;clasp1
sPzxRkuAJOJmqWsaGccz;tnm
nDhSWtyOJXAtXjemyRgY;clasp1
ZZzoIbEcAcLrIgFsgUQf;ebglucose
wveGjANamFoJiQJCLKgS;sol
AFWfBgdApeTPApSVgSNn;minisatpsm
UiDoudUBEvGTuGDWdJzz;glucose2
bQCmTRePjCWGFqnBKEPw;ebminisat
crQwDMZDYtjowtAVZpFl;tnm
qUGCquBxokWRZbQdgorZ;clasp2
lkyrnKcgxuiBBegptLuK;sattime
NnuVKLERWFPiGuyqsSAA;glucose2
bRPMWFXVfJjSfySBFXpA;minisatpsm
wbcaqoiZeKLlzVVyCpZR;clasp2
rYLqHAoIxcrdJlJwNtCv;tnm
zOEKnFbHoagDTByKFUMn;minisatpsm
SGBoZaONPIWRYCrdIFoq;marchrw
IUJipyphdcjIowQWQPTq;mxc09
LEQymtNUcBkKPYpwsfpj;sol
basTXDReLSiuuEcDbSLq;sattimep
PipqQqbmFwhprKrieomr;glucose2
nMRpQzUZGDDAFbnfiyna;glucose2
ULXUOZZbPKqqmTphTdHw;gnoveltyp2
ryKQeHSOLoiEetmMdcyf;marchrw
GPnxlIWVezMctljtfnaT;glucose2
FgpRDFakEvdovpliyCYj;clasp1
hsrloXBZNyEwvTgFCPTH;sparrow
zqVbLSEYfHkmDSIsmYtV;lingeling
XiCtAhDTUqdXIMYBmTYK;glucose2
tlpyWmJwIXVKRCyHrGSK;tnm
ufkjZGehSiVvdtTqtkzK;marchrw
xbHOdxZUeMkSfufbTWXJ;eagleup
wlwqnqpoJTVrqvCzPxLj;glueminisat
NjabWyhGuynCeZTlfQhx;clasp1
OTJJgAyuXUKlDtRsPkwJ;picosat
IaYOUwkFUwMhvqQFWPQe;marchrw
erIjLFUkIateKafankQH;sol
waPAXfWkKQqcyUlGtAGc;lingeling
QtzgKhnlxfdlleIlVShM;marchrw
AQFlcsWunytRqHHqptlf;glueminisat
xcrYajwGysiaZwrTsFuP;gnoveltyp2
veftDOWoCsUFUrYYwjtz;clasp1
kusQwMZArPpRNbDXdxeb;qutersat
WblOMzVroNKAwTIiGIWa;sparrow
APgonHtjBRVDmUPitlID;eagleup
yrQvHfSydabTemVmoDvu;glucose2
bGFjscGpOdBAdqhLMFkX;lingeling
aZSUXvwJhwtPpIwKDWxD;glueminisat
xOWMSWTLkZvxasbVOzqv;glucose2
eRRASYrliuUuXgcmtzdW;glucose2
